id,winner,winner2012,flip,percent1,percent2,town2
Woodstock,Trump,Romney,Trump retained,50.85,50.54,Woodstock
Woodbury,Trump,Romney,Trump retained,53.89,55.06,Woodbury
Woodbridge,Clinton,Obama,Clinton retained,62.26,58.39,Woodbridge
Wolcott,Trump,Romney,Trump retained,68.15,61.18,Wolcott
Windsor Locks,Trump,Obama,Flipped to Trump,49.17,55.5,WindsorLocks
Windsor,Clinton,Obama,Clinton retained,70.91,71.91,Windsor
Windham,Clinton,Obama,Clinton retained,64.1,73.88,Windham
Winchester,Trump,Romney,Trump retained,58.45,51.05,Winchester
Wilton,Clinton,Romney,Flipped to Clinton,58.29,53.62,Wilton
Willington,Clinton,Obama,Clinton retained,46.48,54.35,Willington
Wethersfield,Clinton,Obama,Clinton retained,54.58,55.63,Wethersfield
Westport,Clinton,Obama,Clinton retained,68.81,56.45,Westport
Weston,Clinton,Obama,Clinton retained,66.66,53.27,Weston
Westbrook,Trump,Obama,Flipped to Trump,51.05,53.56,Westbrook
West Haven,Clinton,Obama,Clinton retained,59.5,70.45,WestHaven
West Hartford,Clinton,Obama,Clinton retained,71.32,65.99,WestHartford
Watertown,Trump,Romney,Trump retained,65.05,60.62,Watertown
Waterford,Clinton,Obama,Clinton retained,48.98,56.29,Waterford
Waterbury,Clinton,Obama,Clinton retained,58.94,64.92,Waterbury
Washington,Clinton,Obama,Clinton retained,59.65,59.41,Washington
Warren,Trump,Romney,Trump retained,52.56,49.21,Warren
Wallingford,Trump,Obama,Flipped to Trump,48.33,54.83,Wallingford
Voluntown,Trump,Obama,Flipped to Trump,62.24,49.27,Voluntown
Vernon,Clinton,Obama,Clinton retained,52.25,58.88,Vernon
Union,Trump,Obama,Flipped to Trump,55.85,49.81,Union
Trumbull,Trump,Romney,Trump retained,49.14,52.92,Trumbull
Torrington,Trump,Romney,Trump retained,57.71,50.77,Torrington
Tolland,Clinton,Obama,Clinton retained,47.3,51.14,Tolland
Thompson,Trump,Romney,Trump retained,58.7,49.21,Thompson
Thomaston,Trump,Romney,Trump retained,65.88,56.96,Thomaston
Suffield,Trump,Romney,Trump retained,50.13,53.13,Suffield
Stratford,Clinton,Obama,Clinton retained,54.37,58.54,Stratford
Stonington,Clinton,Obama,Clinton retained,55.4,58.51,Stonington
Sterling,Trump,Romney,Trump retained,65.44,50.82,Sterling
Stamford,Clinton,Obama,Clinton retained,65.39,62.33,Stamford
Stafford,Trump,Obama,Flipped to Trump,55.32,53.66,Stafford
Sprague,Trump,Obama,Flipped to Trump,57.26,51.75,Sprague
Southington,Trump,Obama,Flipped to Trump,53.1,49.98,Southington
Southbury,Trump,Romney,Trump retained,52.98,54.8,Southbury
South Windsor,Clinton,Obama,Clinton retained,55.31,56.43,SouthWindsor
Somers,Trump,Romney,Trump retained,58.83,57.36,Somers
Simsbury,Clinton,Obama,Clinton retained,55.94,49.87,Simsbury
